learning_rate/pg1,learning_rate/pg2,step,train_mention_loss,train_coref_loss,train_entity_loss,train_rel_loss,train_loss,epoch,valid_f1,mention_prec_micro,mention_rec_micro,mention_f1_micro,mention_prec_macro,mention_rec_macro,mention_f1_macro,coref_prec_micro,coref_rec_micro,coref_f1_micro,coref_prec_macro,coref_rec_macro,coref_f1_macro,entity_prec_micro,entity_rec_micro,entity_f1_micro,entity_prec_macro,entity_rec_macro,entity_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro
,,21999,0.00026194320525974035,0.0,7.748565622023307e-06,2.688141648832243e-05,0.00029076175997033715,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22199,,,,,,14,53.811659192825125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.769932432432431e-06,7.769932432432431e-06,22999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22999,0.047855883836746216,7.748600978629838e-07,0.003076329594478011,0.0014219754375517368,0.05004771798849106,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23679,,,,,,15,62.371134020618555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.10777027027027e-06,8.10777027027027e-06,23999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23999,0.0004891661810688674,0.0,1.311301275563892e-06,5.9604641222676946e-08,0.0004895536112599075,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.445608108108107e-06,8.445608108108107e-06,24999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24999,0.00011332098802085966,0.0,6.3180673350871075e-06,1.7881392011531716e-07,0.00011507931776577607,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25159,,,,,,16,60.916442048517524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.783445945945946e-06,8.783445945945946e-06,25999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25999,0.001305885729379952,0.0,1.0311513506167103e-05,0.0,0.0013084636302664876,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26639,,,,,,17,58.233890214797135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.121283783783783e-06,9.121283783783783e-06,26999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26999,0.00016020922339521348,0.0,3.874156391248107e-05,1.7881392011531716e-07,0.00017007342830765992,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.459121621621622e-06,9.459121621621622e-06,27999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27999,0.00026570301270112395,0.0,1.5735386114101857e-05,1.7881392011531716e-07,0.000269815674982965,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28119,,,,,,18,61.42506142506142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.796959459459459e-06,9.796959459459459e-06,28999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28999,0.00025430682580918074,0.0,2.825181400112342e-05,5.9604641222676946e-08,0.0002614293771330267,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29599,,,,,,19,62.87262872628726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0134797297297297e-05,1.0134797297297297e-05,29999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29999,5.413388862507418e-05,7.152555099310121e-07,8.06983225629665e-05,1.1920928244535389e-07,7.514293247368187e-05,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0472635135135134e-05,1.0472635135135134e-05,30999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30999,0.00016961897199507803,0.0,8.064123539952561e-05,5.9604641222676946e-08,0.00018983888730872422,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31079,,,,,,20,61.413043478260875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0810472972972973e-05,1.0810472972972973e-05,31999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
